studio,domestic_gross,foreign_gross,total_gross
BV,415000000.0,652000000.0,1067000000.0
BV,334200000.0,691300000.0,1025500000.0
WB,296000000.0,664300000.0,960300000.0
WB,292600000.0,535700000.0,828300000.0
P/DW,238700000.0,513900000.0,752600000.0
Sum.,300500000.0,398000000.0,698500000.0
Par.,312400000.0,311500000.0,623900000.0
BV,200800000.0,391000000.0,591800000.0
Uni.,251500000.0,291600000.0,543100000.0
P/DW,217600000.0,277300000.0,494900000.0
WB,163200000.0,330000000.0,493200000.0
Fox,104400000.0,311300000.0,415700000.0
Wein.,135500000.0,275400000.0,410900000.0
BV,172100000.0,228000000.0,400100000.0
Sony,176600000.0,182500000.0,359100000.0
BV,90800000.0,245600000.0,336400000.0
FoxS,107000000.0,222400000.0,329400000.0
P/DW,148400000.0,173500000.0,321900000.0
Uni.,105300000.0,216400000.0,321700000.0
Par.,131800000.0,187900000.0,319700000.0
Uni.,148400000.0,162200000.0,310600000.0
SGem,60100000.0,240100000.0,300200000.0
Par.,128000000.0,166800000.0,294800000.0
Sony,118300000.0,175200000.0,293500000.0
WB (NL),95300000.0,193000000.0,288300000.0
Sony,67600000.0,210700000.0,278300000.0
LGF,103100000.0,171400000.0,274500000.0
Sony,162000000.0,109400000.0,271400000.0
Fox,76400000.0,185500000.0,261900000.0
Par.,171200000.0,81000000.0,252200000.0
Fox,42800000.0,194600000.0,237400000.0
Fox,88800000.0,137700000.0,226500000.0
Sony,97000000.0,128000000.0,225000000.0
WB (NL),110500000.0,106000000.0,216500000.0
BV,63200000.0,152100000.0,215300000.0
WB,100500000.0,111200000.0,211700000.0
Sony,80600000.0,124000000.0,204600000.0
WB,100200000.0,101300000.0,201500000.0
Sum.,90400000.0,108600000.0,199000000.0
Par.,84800000.0,92800000.0,177600000.0
Fox,77200000.0,100000000.0,177200000.0
Par.,117200000.0,54500000.0,171700000.0
Sony,119200000.0,51200000.0,170400000.0
Fox,81600000.0,86200000.0,167800000.0
BV,42400000.0,116900000.0,159300000.0
WB,94800000.0,62300000.0,157100000.0
WB,92200000.0,61800000.0,154000000.0
Fox,98700000.0,53600000.0,152300000.0
WB,55700000.0,84400000.0,140100000.0
Uni.,62000000.0,77800000.0,139800000.0
Sony,67099999.0,69300000.0,136399999.0
LGF,45700000.0,90400000.0,136100000.0
Fox,52500000.0,82300000.0,134800000.0
Par.,93600000.0,35600000.0,129200000.0
Fox,52000000.0,75200000.0,127200000.0
WB (NL),63100000.0,52600000.0,115700000.0
SGem,80000000.0,35000000.0,115000000.0
WB,43600000.0,68900000.0,112500000.0
Fox,60000000.0,52400000.0,112400000.0
WB,53400000.0,52300000.0,105700000.0
WB,32700000.0,72500000.0,105200000.0
MBox,10100000.0,94300000.0,104400000.0
Fox,32400000.0,70500000.0,102900000.0
CL,63000.0,100200000.0,100263000.0
LGF,47100000.0,51100000.0,98200000.0
LGF,48100000.0,48100000.0,96200000.0
Uni.,35100000.0,59800000.0,94900000.0
Uni.,29000000.0,64200000.0,93200000.0
Uni.,61000000.0,30300000.0,91300000.0
SGem,39400000.0,50100000.0,89500000.0
BV,63000000.0,26100000.0,89100000.0
P/DW,73000000.0,13800000.0,86800000.0
Fox,33600000.0,50100000.0,83700000.0
W/Dim.,25000000.0,58200000.0,83200000.0
